,size_decile,pre_beta_decile,n_firms,mean_lnME,mean_pre_beta,Date
2215,2,6,34,11.60994815306475,0.9062013004919104,2021-06-30
2216,2,7,30,11.581857460320371,1.0311090563629368,2021-06-30
2217,2,8,35,11.65112660624964,1.1861471236052084,2021-06-30
2218,2,9,22,11.625101797813265,1.3241746326158677,2021-06-30
2219,2,10,59,11.620150787606628,1.7788099711582868,2021-06-30
2220,3,1,20,11.933971169933068,-0.17669462562522156,2021-06-30
2221,3,2,15,11.931867976556605,0.3719711045191974,2021-06-30
2222,3,3,25,11.932062976494933,0.5235270101718378,2021-06-30
2223,3,4,24,11.946070429847582,0.6806724747113005,2021-06-30
2224,3,5,16,11.92287029712682,0.8163550538718108,2021-06-30
2225,3,6,12,11.930256807847188,0.9246325157847957,2021-06-30
2226,3,7,20,11.950638554710661,1.0598665645433276,2021-06-30
2227,3,8,29,11.933777982268793,1.2071497327959535,2021-06-30
2228,3,9,23,11.937527101060375,1.3854945105739884,2021-06-30
2229,3,10,38,11.92075944396316,1.8344095994250729,2021-06-30
2230,4,1,22,12.251592176019567,0.10803360882824245,2021-06-30
2231,4,2,10,12.127690407486005,0.4457426156369412,2021-06-30
2232,4,3,17,12.20029157159866,0.5861627656477487,2021-06-30
2233,4,4,34,12.196191141067544,0.7652297291394283,2021-06-30
2234,4,5,18,12.187992957498118,0.9146547670923799,2021-06-30
2235,4,6,20,12.200736037775624,1.0061356994664528,2021-06-30
2236,4,7,21,12.253255733525751,1.1409262920868657,2021-06-30
2237,4,8,26,12.24588519207986,1.3393951926677277,2021-06-30
2238,4,9,28,12.202677121720361,1.5783155854745778,2021-06-30
2239,4,10,25,12.231247287582082,2.351954370104098,2021-06-30
2240,5,1,31,12.53281690707586,0.02938112208332845,2021-06-30
2241,5,2,16,12.542852487844717,0.6636557335179114,2021-06-30
2242,5,3,14,12.563831876103455,0.7993888268926556,2021-06-30
2243,5,4,19,12.514983770424706,0.9058679472513458,2021-06-30
2244,5,5,12,12.54300349397007,1.0154908697050118,2021-06-30
2245,5,6,19,12.563108203179116,1.139550550941159,2021-06-30
2246,5,7,17,12.50900671387806,1.253730032712134,2021-06-30
2247,5,8,10,12.530042380718577,1.3540142033866802,2021-06-30
2248,5,9,31,12.523125043265361,1.5934320067384262,2021-06-30
2249,5,10,18,12.52654393547571,2.429599485271085,2021-06-30
2250,6,1,19,12.813202095988606,-0.1876260596308932,2021-06-30
2251,6,2,13,12.826907259430612,0.4038844810407752,2021-06-30
2252,6,3,21,12.831249533538823,0.5918887359516037,2021-06-30
