,MKT
2001-10-31,0.13430088013523445
2001-11-30,0.17937454590313978
2001-12-31,0.08027091428533045
2002-01-31,0.07822219320714782
2002-02-28,0.08011895483103854
2002-03-31,0.10961022307582666
2002-04-30,-0.09366726189001698
2002-05-31,-0.051806304335507376
2002-06-30,-0.07159545858778074
2002-07-31,-0.0334150390342758
2002-08-31,0.023825238073359296
2002-09-30,-0.13386809698877505
2002-10-31,0.020902144826064697
2002-11-30,0.10049040903621781
2002-12-31,-0.11639111043561325
2003-01-31,-0.052325841762038035
2003-02-28,-0.029221853306626598
2003-03-31,-0.07049267416566735
2003-04-30,0.12235565890977407
2003-05-31,0.06267961501834057
2003-06-30,0.058338485014022515
2003-07-31,0.05436944132394658
2003-08-31,0.0581588602520057
2003-09-30,-0.08210001095117328
2003-10-31,0.1129622541904229
2003-11-30,0.01588878625669297
2003-12-31,0.03613911989621809
2004-01-31,0.040765175397079904
2004-02-29,0.03532805411899434
2004-03-31,-0.0014331483390921732
2004-04-30,-0.013876844874948458
2004-05-31,-0.0720810184033815
2004-06-30,-0.019764858691989663
2004-07-31,-0.07070347996475107
2004-08-31,0.08196185021936375
2004-09-30,0.03863097595008583
2004-10-31,-0.0016954753240234293
2004-11-30,0.05161713155868124
2004-12-31,0.043955500976186584
2005-01-31,0.05386297095035473
2005-02-28,0.08179455021858048
2005-03-31,-0.047756558657922527
2005-04-30,-0.05732217922541283
2005-05-31,0.06810479998079874
2005-06-30,0.04478535260057402
2005-07-31,0.10197441777518436
2005-08-31,-0.029811341002766237
2005-09-30,0.1280488590094404
2005-10-31,-0.043881333231630404
2005-11-30,0.12964306125945235
2005-12-31,0.07221038375956941
2006-01-31,0.011887528057283981
2006-02-28,-0.019092586320429036
2006-03-31,-0.009257742136027746
2006-04-30,0.04321623721462008
2006-05-31,-0.07296318308175444
2006-06-30,-0.019966925590438164
2006-07-31,-0.0027038697258161487
2006-08-31,0.042174872822873216
2006-09-30,0.017073999057018036
2006-10-31,-0.006956462855867958
2006-11-30,0.051313466697716074
2006-12-31,0.015096675091077738
2007-01-31,-0.0517230320560699
2007-02-28,0.04117330275375686
2007-03-31,0.03290832619819157
2007-04-30,0.05990087551915582
2007-05-31,0.10221934179817843
2007-06-30,0.02871709276748213
2007-07-31,0.10232688110777644
2007-08-31,-0.03240786247262918
2007-09-30,0.03810066704690024
2007-10-31,0.056675864837966015
2007-11-30,-0.07653099492850397
2007-12-31,0.0037868600054430874
2008-01-31,-0.14217991310305822
2008-02-29,0.05537042355583291
2008-03-31,-0.00425340097410986
2008-04-30,0.0653308475753014
2008-05-31,0.01411361536526186
2008-06-30,-0.09476372105164024
2008-07-31,-0.05186252997703343
2008-08-31,-0.07901837062448672
2008-09-30,-0.021372230035177447
2008-10-31,-0.23465615692232444
2008-11-30,-0.030489278960828113
2008-12-31,0.06245594447104584
2009-01-31,0.03862214492834557
2009-02-28,-0.07845143160341037
2009-03-31,0.13835328479685124
2009-04-30,0.14022090432025014
2009-05-31,0.024248203143669055
2009-06-30,-0.01118409967542865
2009-07-31,0.11352154015338775
2009-08-31,0.022369531296231763
2009-09-30,0.045339000306818596
2009-10-31,-0.05361873093623282
2009-11-30,-0.01896638784583554
2009-12-31,0.09542433759744838
2010-01-31,-0.04655744258989142
2010-02-28,-0.0025689746620554785
2010-03-31,0.059204277763511726
2010-04-30,0.02767847351079325
2010-05-31,-0.05758738484577858
2010-06-30,0.033490784795858
2010-07-31,0.031212511433543005
2010-08-31,-0.011439008184375252
2010-09-30,0.07367440063839271
2010-10-31,0.011073659178480747
2010-11-30,0.00623438569799206
2010-12-31,0.08389484127279492
2011-01-31,0.01026298148537121
2011-02-28,-0.06034493665049484
2011-03-31,0.08445148402444844
2011-04-30,0.034929515729659244
2011-05-31,-0.024868009755827224
2011-06-30,-0.0180422911868267
2011-07-31,0.023666937872628982
2011-08-31,-0.11502887042724001
2011-09-30,-0.061275313241156225
2011-10-31,0.08015132000325743
2011-11-30,-0.0287169039172326
2011-12-31,0.001723193002074029
2012-01-31,0.06718315003767042
2012-02-29,0.03911753656214267
2012-03-31,-0.009601892091544988
2012-04-30,-0.021215712541320562
2012-05-31,-0.06502733749036872
2012-06-30,0.009182383696556844
2012-07-31,0.00984384648172389
2012-08-31,0.018738225076272534
2012-09-30,0.04660861385860964
2012-10-31,-0.04174917966475883
2012-11-30,0.008705433555047123
2012-12-31,0.03969936010790725
2013-01-31,-0.014653774245685442
2013-02-28,0.036001337333402175
2013-03-31,-0.004982641230821978
2013-04-30,-0.015759463892857185
2013-05-31,0.019624646532176732
2013-06-30,-0.07197698935864805
2013-07-31,0.031190703547825438
2013-08-31,-0.0002194516024975621
2013-09-30,0.03674278676013573
2013-10-31,0.01476066226329506
2013-11-30,0.003895611296797735
2013-12-31,-0.008048760290126198
2014-01-31,-0.02848767561022537
2014-02-28,0.020966543024647018
2014-03-31,0.004939549495323534
2014-04-30,-0.004617737486315163
2014-05-31,0.01311191576854558
2014-06-30,0.0024091830077293853
2014-07-31,0.03243096803233494
2014-08-31,0.00346672755802058
2014-09-30,-0.018696820907333173
2014-10-31,-0.025082057143163212
2014-11-30,0.002935398762393851
2014-12-31,-0.021906478419661018
2015-01-31,0.025279221561633633
2015-02-28,0.02329523163613858
2015-03-31,0.029584933528566813
2015-04-30,0.04432349680943406
2015-05-31,-0.0007797230314265224
2015-06-30,-0.010294926168369337
2015-07-31,-0.02147682523259721
2015-08-31,-0.04439446004859745
2015-09-30,0.008973924557941347
2015-10-31,0.030367705016139737
2015-11-30,-0.01529645211234748
2015-12-31,-0.0006709064843691355
2016-01-31,-0.020792473344695542
2016-02-29,-0.004092682812562608
2016-03-31,0.04340290411820895
2016-04-30,0.0017423584206741863
2016-05-31,-0.00520809732922639
2016-06-30,-0.009635680971204973
2016-07-31,0.026676887881961365
2016-08-31,-0.000868122751876161
2016-09-30,0.007570721343257011
2016-10-31,-0.026846071236707812
2016-11-30,-0.017066310686991333
