,Date,size_decile,pre_beta_decile,ret
27896,2022-09-30,10,7,-0.14496032352915478
27897,2022-09-30,10,8,-0.14252296231587241
27898,2022-09-30,10,9,-0.18972241575243776
27899,2022-09-30,10,10,-0.18225431864649128
27900,2022-10-31,1,1,0.003915765505723099
27901,2022-10-31,1,2,0.0025150364264819843
27902,2022-10-31,1,3,0.01667602577734641
27903,2022-10-31,1,4,0.013730330266317373
27904,2022-10-31,1,5,-0.006532526541731509
27905,2022-10-31,1,6,0.06028616910245098
27906,2022-10-31,1,7,0.03305420783815912
27907,2022-10-31,1,8,0.06291460810392456
27908,2022-10-31,1,9,0.04224226754902335
27909,2022-10-31,1,10,0.03874582316472934
27910,2022-10-31,2,1,-0.025362462786272456
27911,2022-10-31,2,2,0.03456535191628489
27912,2022-10-31,2,3,0.04421855279218733
27913,2022-10-31,2,4,0.1242952753181723
27914,2022-10-31,2,5,-0.023748562539328496
27915,2022-10-31,2,6,0.005456723419882053
27916,2022-10-31,2,7,0.03576810964088386
27917,2022-10-31,2,8,0.0034676683131712265
27918,2022-10-31,2,9,0.051281485301111374
27919,2022-10-31,2,10,0.06861242197140396
27920,2022-10-31,3,1,0.0032540845903303935
27921,2022-10-31,3,2,-0.03164276908852387
27922,2022-10-31,3,3,0.002266814446525936
27923,2022-10-31,3,4,-0.0068812292079845246
27924,2022-10-31,3,5,-0.047627928289549946
27925,2022-10-31,3,6,0.039144357657569455
27926,2022-10-31,3,7,0.023758980030726087
27927,2022-10-31,3,8,0.03466364314298054
27928,2022-10-31,3,9,0.0320166450103299
27929,2022-10-31,3,10,0.027969386393257283
27930,2022-10-31,4,1,-0.006388140104668553
27931,2022-10-31,4,2,0.06709578693414345
27932,2022-10-31,4,3,0.016162540060485883
27933,2022-10-31,4,4,0.015576094110932637
27934,2022-10-31,4,5,0.040814036002341354
27935,2022-10-31,4,6,0.03835184903211044
27936,2022-10-31,4,7,0.023525754101437143
27937,2022-10-31,4,8,0.03790671612301712
27938,2022-10-31,4,9,0.03730189107001685
27939,2022-10-31,4,10,0.0024113173567464363
27940,2022-10-31,5,1,-0.008346730359263081
27941,2022-10-31,5,2,0.10059769247994259
